2023-05-15 00:05:554 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> id: product_attribute_3_7]
2023-05-15 00:05:642 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> id: product_attribute_4_9]
2023-05-15 00:05:713 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> id: product_attribute_5_12]
2023-05-15 00:05:780 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:859 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:888 INFO  HomePage :98 - Message After Adding To Cart [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2023-05-15 00:05:918 INFO  HomePage :103 - Close Button On Message [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //div[@id='bar-notification']/div[1]/span[1]]
2023-05-15 00:05:975 INFO  HomePage :59 - Shopping cart [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //span[contains(text(),'Shopping cart')]]
2023-05-15 00:05:148 INFO  HomePage :65 - Search store [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //button[contains(text(),'Go to cart')]]
2023-05-15 00:05:987 INFO  HomePage :36 - shopping cart text[[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //h1[contains(text(),'Shopping cart')]]
2023-05-15 00:05:181 INFO  HomePage :46 - Update cart [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> id: updatecart]
2023-05-15 00:05:661 INFO  HomePage :51 - Total price  [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> xpath: //span[@class='value-summary'][1]/strong]
2023-05-15 00:05:714 INFO  HomePage :56 - Terms and condition [[ChromeDriver: chrome on WINDOWS (9609dda45e3a971b8822ca0d26027bec)] -> id: termsofservice]
2023-05-15 00:05:401 INFO  HomePage :27 - Top menu
2023-05-15 00:05:743 INFO  HomePage :51 - sort type [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:893 INFO  HomePage :86 - List of products [[[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //div[@class='item-grid']/div//h2]]
2023-05-15 00:05:77 INFO  HomePage :60 - sort type [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //select[@id='products-orderby']]
2023-05-15 00:05:178 INFO  HomePage :56 - select Processor [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //select[@id='product_attribute_1']]
2023-05-15 00:05:271 INFO  HomePage :62 - select ram [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //select[@id='product_attribute_2']]
2023-05-15 00:05:367 INFO  HomePage :68 - select HDD [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> id: product_attribute_3_7]
2023-05-15 00:05:441 INFO  HomePage :74 - select vista premium [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> id: product_attribute_4_9]
2023-05-15 00:05:500 INFO  HomePage :80 - select total commander [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> id: product_attribute_5_12]
2023-05-15 00:05:565 INFO  HomePage :92 - add To Cart Button [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //button[@class='button-1 add-to-cart-button']]
2023-05-15 00:05:647 INFO  HomePage :86 - get price [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //div[@class='product-price']]
2023-05-15 00:05:678 INFO  HomePage :98 - Message After Adding To Cart [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2023-05-15 00:05:710 INFO  HomePage :103 - Close Button On Message [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //div[@id='bar-notification']/div[1]/span[1]]
2023-05-15 00:05:782 INFO  HomePage :59 - Shopping cart [[ChromeDriver: chrome on WINDOWS (c636697899120f42bd4f3976b3d05add)] -> xpath: //span[contains(text(),'Shopping cart')]]
